Participant,StationName,Region,DispatchType,Category,Classification,FuelSource,FuelSourceDescriptor,TechnologyType,TechnologyTypeDescriptor,PhysicalUnitNumber,UnitSize,Aggregation,DUID,regcap,maxcap,maxroc
AGL Hydro Partnership,Banimboola Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,5.3,Y,BAPS,12.85,13,
AGL Hydro Partnership,Banimboola Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3,2.25,Y,BAPS,-,-,
AGL Hydro Partnership,Bogong / Mckay Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity, B 1-2,80,Y,MCKAY1,300,300,60
AGL Hydro Partnership,Bogong / Mckay Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity, M1-6,25,Y,MCKAY1,-,-,
AGL Hydro Partnership,Clover Power Station,VIC1,Generator,Non-Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,14.5,N,-,30,30,
AGL Hydro Partnership,Dartmouth Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,150,N,DARTM1,150,185,60
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,60,Y,EILDON1,60,60,20
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1b,7.5,Y,EILDON1,-,-,
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2,60,Y,EILDON2,60,60,20
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2b,7.5,Y,EILDON2,-,-,
AGL Hydro Partnership,Hallett 1 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-45,2.1,Y,HALLWF1,94.5,95,30
AGL Hydro Partnership,Hallett 2 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-34,2.1,Y,HALLWF2,71.4,71,30
